,PRODUCTO,PRESENTACION,MARCA,CATEGORIA,CATALOGO,PRECIO,FECHAREGISTRO,CADENACOMERCIAL,GIRO,NOMBRECOMERCIAL,DIRECCION,ESTADO,MUNICIPIO,LATITUD,LONGITUD
468236,Arroz,Bolsa 900 Gr. Super Extra,Ley,Arroz y Cereales Preparados,Pacic,15.9,2026/02/16,Ley,Supermercado / Tienda de Autoservicio,Ley Sucursal Vado del Rio,Periferico Poniente. Esq. Vado del Rio. Col. Proyecto Rio Sonora. Cp. 83000,Sonora,Hermosillo,29.066052,-110.969103
468239,Carne Cerdo,1 Kg. Granel. Chuleta de Paleta de Puerco,S/M,Carne y Visceras de Cerdo,Pacic,61.5,2026/02/16,Ley,Supermercado / Tienda de Autoservicio,Ley Sucursal Vado del Rio,Periferico Poniente. Esq. Vado del Rio. Col. Proyecto Rio Sonora. Cp. 83000,Sonora,Hermosillo,29.066052,-110.969103
468240,Carne Pollo,1 Kg. Granel. Pierna con Muslo,S/M,Carne de Ave,Pacic,32.9,2026/02/16,Ley,Supermercado / Tienda de Autoservicio,Ley Sucursal Vado del Rio,Periferico Poniente. Esq. Vado del Rio. Col. Proyecto Rio Sonora. Cp. 83000,Sonora,Hermosillo,29.066052,-110.969103
468241,Carne Res,1 Kg. Granel. Chuleta del 7,S/M,Carne y Visceras de Res,Pacic,145.9,2026/02/16,Ley,Supermercado / Tienda de Autoservicio,Ley Sucursal Vado del Rio,Periferico Poniente. Esq. Vado del Rio. Col. Proyecto Rio Sonora. Cp. 83000,Sonora,Hermosillo,29.066052,-110.969103
468244,Frijol,Bolsa 900 Gr. Negro,Ley,Legumbres Secas,Pacic,20.9,2026/02/16,Ley,Supermercado / Tienda de Autoservicio,Ley Sucursal Vado del Rio,Periferico Poniente. Esq. Vado del Rio. Col. Proyecto Rio Sonora. Cp. 83000,Sonora,Hermosillo,29.066052,-110.969103
468245,Huevo,Paquete C/18 Blanco,Bachoco,Huevo,Pacic,48.9,2026/02/16,Ley,Supermercado / Tienda de Autoservicio,Ley Sucursal Vado del Rio,Periferico Poniente. Esq. Vado del Rio. Col. Proyecto Rio Sonora. Cp. 83000,Sonora,Hermosillo,29.066052,-110.969103
468248,Leche Ultrapasteurizada,Caja 1 Lt. Entera,Grand Brand,Leche Procesada,Pacic,19.5,2026/02/16,Ley,Supermercado / Tienda de Autoservicio,Ley Sucursal Vado del Rio,Periferico Poniente. Esq. Vado del Rio. Col. Proyecto Rio Sonora. Cp. 83000,Sonora,Hermosillo,29.066052,-110.969103
468257,Tortilla de Maíz,1 Kg. Granel,S/M,Tortillas y Derivados del Maiz,Pacic,15,2026/02/16,Ley,Supermercado / Tienda de Autoservicio,Ley Sucursal Vado del Rio,Periferico Poniente. Esq. Vado del Rio. Col. Proyecto Rio Sonora. Cp. 83000,Sonora,Hermosillo,29.066052,-110.969103
468259,Tortilla de Maíz,1 Kg. Granel,S/M,Tortillas y Derivados del Maiz,Basicos,35,2026/02/16,Tortillerias Tradicionales,Tortillerías,Tortillería la Estrella Azul,Calle 12 de Octubre 291. Entre José María Mendoza y Rafaela Rodríguez. Col. Balderrama. Cp. 83180,Sonora,Hermosillo,29.104141,-110.973316
468260,Tortilla de Maíz,1 Kg. Granel,S/M,Tortillas y Derivados del Maiz,Basicos,35,2026/02/16,Tortillerias Tradicionales,Tortillerías,Tortillería la Fama Sucursal Centro,Mariano Matamoros 150 Sur. Esq. Morelia. Col. Centro. Cp. 83000,Sonora,Hermosillo,29.07956,-110.952564
468261,Tortilla de Maíz,1 Kg. Granel,S/M,Tortillas y Derivados del Maiz,Basicos,28,2026/02/16,Tortillerias Tradicionales,Tortillerías,Tortillería Mercadito 2,14 de Abril. Entre Rafaela Rodriguez y Alberto Gutierrez. Col. Balderrama. Cp. 83180,Sonora,Hermosillo,29.10388,-110.97219
468262,Tortilla de Maíz,1 Kg. Granel,S/M,Tortillas y Derivados del Maiz,Basicos,32,2026/02/16,Tortillerias Tradicionales,Tortillerías,Tortillería Villa Hermosa,Jose Maria Mendoza 256. Esq. Francisco Monteverde. Col. Balderrama. Cp. 83180,Sonora,Hermosillo,29.104763,-110.971063
468263,Tortilla de Maíz,1 Kg. Granel,S/M,Tortillas y Derivados del Maiz,Basicos,30,2026/02/17,Tortillerias Tradicionales,Tortillerías,Tortillería 5 Estrellas,Benito Juárez No. 202. Esq. Av. Jesús Siquieros. Col. Jesús García. Cp. 83140,Sonora,Hermosillo,29.110995,-110.952951
468264,Tortilla de Maíz,1 Kg. Granel,S/M,Tortillas y Derivados del Maiz,Basicos,32,2026/02/17,Tortillerias Tradicionales,Tortillerías,Tortillería el Grano de Oro,Angel Garcia Aburto 501. Esquina Obregon. Col. Olivares. Cp. 83180,Sonora,Hermosillo,29.108432,-110.986204
468265,Tortilla de Maíz,1 Kg. Granel,S/M,Tortillas y Derivados del Maiz,Basicos,32,2026/02/17,Tortillerias Tradicionales,Tortillerías,Tortillería la Purisima,Jose Maria Mendoza 353. Esq. Simón Bley. Col. Olivares. Cp. 83180,Sonora,Hermosillo,29.104104,-110.977242
468266,Tortilla de Maíz,1 Kg. Granel,S/M,Tortillas y Derivados del Maiz,Basicos,32,2026/02/17,Tortillerias Tradicionales,Tortillerías,Tortillería las Maravillas,12 de Octubre 303. Entre Periferico Norte y W. Villa. Col. Balderrama. Cp. 83180,Sonora,Hermosillo,29.111605,-110.974429
468267,Tortilla de Maíz,1 Kg. Granel,S/M,Tortillas y Derivados del Maiz,Basicos,32,2026/02/17,Tortillerias Tradicionales,Tortillerías,Tortillería Luis Orci,Luis Orci 295. Entre Monteverde y 12 de Octubre. Col. Balderrama. Cp. 83180,Sonora,Hermosillo,29.107826,-110.97345
468270,Arroz,Bolsa 900 Gr. Extra,Aurrera,Arroz y Cereales Preparados,Pacic,18,2026/02/17,Wal-mart,Supermercado / Tienda de Autoservicio,Walmart Sucursal Boulevard Morelos,Blvd. Jose Maria Morelos 355. Esq. Congreso. Col. Zona Militar. Cp. 83145,Sonora,Hermosillo,29.121467,-110.950883
468271,Arroz,Bolsa 907 Gr. Super Extra,La Merced,Arroz y Cereales Preparados,Pacic,22,2026/02/17,Wal-mart,Supermercado / Tienda de Autoservicio,Walmart Sucursal Boulevard Morelos,Blvd. Jose Maria Morelos 355. Esq. Congreso. Col. Zona Militar. Cp. 83145,Sonora,Hermosillo,29.121467,-110.950883
468272,Arroz,Bolsa 907 Gr. Super Extra,Schettino,Arroz y Cereales Preparados,Pacic,21,2026/02/17,Wal-mart,Supermercado / Tienda de Autoservicio,Walmart Sucursal Boulevard Morelos,Blvd. Jose Maria Morelos 355. Esq. Congreso. Col. Zona Militar. Cp. 83145,Sonora,Hermosillo,29.121467,-110.950883
468277,Carne Cerdo,1 Kg. Granel. Chuleta Arriera o Chuleta Mixta,S/M,Carne y Visceras de Cerdo,Pacic,64,2026/02/17,Wal-mart,Supermercado / Tienda de Autoservicio,Walmart Sucursal Boulevard Morelos,Blvd. Jose Maria Morelos 355. Esq. Congreso. Col. Zona Militar. Cp. 83145,Sonora,Hermosillo,29.121467,-110.950883
468278,Carne Cerdo,1 Kg. Granel. Costilla,S/M,Carne y Visceras de Cerdo,Pacic,149,2026/02/17,Wal-mart,Supermercado / Tienda de Autoservicio,Walmart Sucursal Boulevard Morelos,Blvd. Jose Maria Morelos 355. Esq. Congreso. Col. Zona Militar. Cp. 83145,Sonora,Hermosillo,29.121467,-110.950883
468279,Carne Pollo,1 Kg. Granel. Entero. con Vísceras o Tipo Super o Entero Supermercado o Canal Entera,S/M,Carne de Ave,Pacic,50,2026/02/17,Wal-mart,Supermercado / Tienda de Autoservicio,Walmart Sucursal Boulevard Morelos,Blvd. Jose Maria Morelos 355. Esq. Congreso. Col. Zona Militar. Cp. 83145,Sonora,Hermosillo,29.121467,-110.950883
468280,Carne Pollo,1 Kg. Granel. Pierna con Muslo. Corte Americano,S/M,Carne de Ave,Pacic,38,2026/02/17,Wal-mart,Supermercado / Tienda de Autoservicio,Walmart Sucursal Boulevard Morelos,Blvd. Jose Maria Morelos 355. Esq. Congreso. Col. Zona Militar. Cp. 83145,Sonora,Hermosillo,29.121467,-110.950883
468281,Carne Res,1 Kg. Granel. Bistec del 7 para el Asador o Bistec del 7,S/M,Carne y Visceras de Res,Pacic,198,2026/02/17,Wal-mart,Supermercado / Tienda de Autoservicio,Walmart Sucursal Boulevard Morelos,Blvd. Jose Maria Morelos 355. Esq. Congreso. Col. Zona Militar. Cp. 83145,Sonora,Hermosillo,29.121467,-110.950883
468282,Carne Res,1 Kg. Granel. Chambarete con Hueso,S/M,Carne y Visceras de Res,Pacic,100,2026/02/17,Wal-mart,Supermercado / Tienda de Autoservicio,Walmart Sucursal Boulevard Morelos,Blvd. Jose Maria Morelos 355. Esq. Congreso. Col. Zona Militar. Cp. 83145,Sonora,Hermosillo,29.121467,-110.950883
468283,Carne Res,1 Kg. Granel. Costilla para Cocer,S/M,Carne y Visceras de Res,Pacic,173,2026/02/17,Wal-mart,Supermercado / Tienda de Autoservicio,Walmart Sucursal Boulevard Morelos,Blvd. Jose Maria Morelos 355. Esq. Congreso. Col. Zona Militar. Cp. 83145,Sonora,Hermosillo,29.121467,-110.950883
468288,Frijol,Bolsa 900 Gr. Negro. Querétaro,Aurrera,Legumbres Secas,Pacic,23,2026/02/17,Wal-mart,Supermercado / Tienda de Autoservicio,Walmart Sucursal Boulevard Morelos,Blvd. Jose Maria Morelos 355. Esq. Congreso. Col. Zona Militar. Cp. 83145,Sonora,Hermosillo,29.121467,-110.950883
468289,Huevo,Paquete C/18 Blanco,Bachoco,Huevo,Pacic,59,2026/02/17,Wal-mart,Supermercado / Tienda de Autoservicio,Walmart Sucursal Boulevard Morelos,Blvd. Jose Maria Morelos 355. Esq. Congreso. Col. Zona Militar. Cp. 83145,Sonora,Hermosillo,29.121467,-110.950883
468290,Huevo,Paquete C/18 Blanco,Rancho Grande,Huevo,Pacic,55,2026/02/17,Wal-mart,Supermercado / Tienda de Autoservicio,Walmart Sucursal Boulevard Morelos,Blvd. Jose Maria Morelos 355. Esq. Congreso. Col. Zona Militar. Cp. 83145,Sonora,Hermosillo,29.121467,-110.950883
468294,Leche Ultrapasteurizada,Envase o Caja 1 Lt. Entera,Great Value,Leche Procesada,Pacic,23,2026/02/17,Wal-mart,Supermercado / Tienda de Autoservicio,Walmart Sucursal Boulevard Morelos,Blvd. Jose Maria Morelos 355. Esq. Congreso. Col. Zona Militar. Cp. 83145,Sonora,Hermosillo,29.121467,-110.950883
468295,Leche Ultrapasteurizada,Caja 1 Lt. Entera,Santa Clara,Leche Procesada,Pacic,37,2026/02/17,Wal-mart,Supermercado / Tienda de Autoservicio,Walmart Sucursal Boulevard Morelos,Blvd. Jose Maria Morelos 355. Esq. Congreso. Col. Zona Militar. Cp. 83145,Sonora,Hermosillo,29.121467,-110.950883
468310,Tortilla de Maíz,1 Kg. Granel,S/M,Tortillas y Derivados del Maiz,Pacic,13.5,2026/02/17,Wal-mart,Supermercado / Tienda de Autoservicio,Walmart Sucursal Boulevard Morelos,Blvd. Jose Maria Morelos 355. Esq. Congreso. Col. Zona Militar. Cp. 83145,Sonora,Hermosillo,29.121467,-110.950883
468314,Arroz,Bolsa 900 Gr. Extra,Aurrera,Arroz y Cereales Preparados,Pacic,17,2026/02/18,Bodega Aurrera,Supermercado / Tienda de Autoservicio,Bodega Aurrera Sucursal Camino del Seri,Blvd. Camino del Seri S/n. Esq. Quintero Arce. Col. Paseo San Angel. Cp. 83287,Sonora,Hermosillo,29.059734,-111.003909
468315,Arroz,Bolsa 907 Gr. Super Extra,La Merced,Arroz y Cereales Preparados,Pacic,20,2026/02/18,Bodega Aurrera,Supermercado / Tienda de Autoservicio,Bodega Aurrera Sucursal Camino del Seri,Blvd. Camino del Seri S/n. Esq. Quintero Arce. Col. Paseo San Angel. Cp. 83287,Sonora,Hermosillo,29.059734,-111.003909
468316,Arroz,Bolsa 907 Gr. Super Extra,Schettino,Arroz y Cereales Preparados,Pacic,20,2026/02/18,Bodega Aurrera,Supermercado / Tienda de Autoservicio,Bodega Aurrera Sucursal Camino del Seri,Blvd. Camino del Seri S/n. Esq. Quintero Arce. Col. Paseo San Angel. Cp. 83287,Sonora,Hermosillo,29.059734,-111.003909
468321,Carne Cerdo,1 Kg. Granel. Chuleta Arriera o Chuleta Mixta,S/M,Carne y Visceras de Cerdo,Pacic,120,2026/02/18,Bodega Aurrera,Supermercado / Tienda de Autoservicio,Bodega Aurrera Sucursal Camino del Seri,Blvd. Camino del Seri S/n. Esq. Quintero Arce. Col. Paseo San Angel. Cp. 83287,Sonora,Hermosillo,29.059734,-111.003909
468322,Carne Cerdo,1 Kg. Granel. Costilla,S/M,Carne y Visceras de Cerdo,Pacic,148,2026/02/18,Bodega Aurrera,Supermercado / Tienda de Autoservicio,Bodega Aurrera Sucursal Camino del Seri,Blvd. Camino del Seri S/n. Esq. Quintero Arce. Col. Paseo San Angel. Cp. 83287,Sonora,Hermosillo,29.059734,-111.003909
468323,Carne Pollo,1 Kg. Granel. Entero. con Vísceras o Tipo Super o Entero Supermercado o Canal Entera,S/M,Carne de Ave,Pacic,47,2026/02/18,Bodega Aurrera,Supermercado / Tienda de Autoservicio,Bodega Aurrera Sucursal Camino del Seri,Blvd. Camino del Seri S/n. Esq. Quintero Arce. Col. Paseo San Angel. Cp. 83287,Sonora,Hermosillo,29.059734,-111.003909
468324,Carne Pollo,1 Kg. Granel. Pierna con Muslo. Corte Americano,S/M,Carne de Ave,Pacic,32,2026/02/18,Bodega Aurrera,Supermercado / Tienda de Autoservicio,Bodega Aurrera Sucursal Camino del Seri,Blvd. Camino del Seri S/n. Esq. Quintero Arce. Col. Paseo San Angel. Cp. 83287,Sonora,Hermosillo,29.059734,-111.003909
468325,Carne Res,1 Kg. Granel. Chambarete con Hueso,S/M,Carne y Visceras de Res,Pacic,128,2026/02/18,Bodega Aurrera,Supermercado / Tienda de Autoservicio,Bodega Aurrera Sucursal Camino del Seri,Blvd. Camino del Seri S/n. Esq. Quintero Arce. Col. Paseo San Angel. Cp. 83287,Sonora,Hermosillo,29.059734,-111.003909
468326,Carne Res,1 Kg. Granel. Costilla para Cocer,S/M,Carne y Visceras de Res,Pacic,158,2026/02/18,Bodega Aurrera,Supermercado / Tienda de Autoservicio,Bodega Aurrera Sucursal Camino del Seri,Blvd. Camino del Seri S/n. Esq. Quintero Arce. Col. Paseo San Angel. Cp. 83287,Sonora,Hermosillo,29.059734,-111.003909
468331,Frijol,Bolsa 900 Gr. Negro. Querétaro,Aurrera,Legumbres Secas,Pacic,21,2026/02/18,Bodega Aurrera,Supermercado / Tienda de Autoservicio,Bodega Aurrera Sucursal Camino del Seri,Blvd. Camino del Seri S/n. Esq. Quintero Arce. Col. Paseo San Angel. Cp. 83287,Sonora,Hermosillo,29.059734,-111.003909
468332,Huevo,Paquete C/18 Blanco,Aurrera,Huevo,Pacic,46,2026/02/18,Bodega Aurrera,Supermercado / Tienda de Autoservicio,Bodega Aurrera Sucursal Camino del Seri,Blvd. Camino del Seri S/n. Esq. Quintero Arce. Col. Paseo San Angel. Cp. 83287,Sonora,Hermosillo,29.059734,-111.003909
468333,Huevo,Paquete C/18 Blanco,Bachoco,Huevo,Pacic,58,2026/02/18,Bodega Aurrera,Supermercado / Tienda de Autoservicio,Bodega Aurrera Sucursal Camino del Seri,Blvd. Camino del Seri S/n. Esq. Quintero Arce. Col. Paseo San Angel. Cp. 83287,Sonora,Hermosillo,29.059734,-111.003909
468334,Huevo,Paquete C/18 Blanco,Rancho Grande,Huevo,Pacic,55,2026/02/18,Bodega Aurrera,Supermercado / Tienda de Autoservicio,Bodega Aurrera Sucursal Camino del Seri,Blvd. Camino del Seri S/n. Esq. Quintero Arce. Col. Paseo San Angel. Cp. 83287,Sonora,Hermosillo,29.059734,-111.003909
468338,Leche Ultrapasteurizada,Envase o Caja 1 Lt. Entera,Great Value,Leche Procesada,Pacic,20,2026/02/18,Bodega Aurrera,Supermercado / Tienda de Autoservicio,Bodega Aurrera Sucursal Camino del Seri,Blvd. Camino del Seri S/n. Esq. Quintero Arce. Col. Paseo San Angel. Cp. 83287,Sonora,Hermosillo,29.059734,-111.003909
468339,Leche Ultrapasteurizada,Caja 1 Lt. Entera,Santa Clara,Leche Procesada,Pacic,33,2026/02/18,Bodega Aurrera,Supermercado / Tienda de Autoservicio,Bodega Aurrera Sucursal Camino del Seri,Blvd. Camino del Seri S/n. Esq. Quintero Arce. Col. Paseo San Angel. Cp. 83287,Sonora,Hermosillo,29.059734,-111.003909
468354,Tortilla de Maíz,1 Kg. Granel,S/M,Tortillas y Derivados del Maiz,Pacic,13.5,2026/02/18,Bodega Aurrera,Supermercado / Tienda de Autoservicio,Bodega Aurrera Sucursal Camino del Seri,Blvd. Camino del Seri S/n. Esq. Quintero Arce. Col. Paseo San Angel. Cp. 83287,Sonora,Hermosillo,29.059734,-111.003909
468356,Tortilla de Maíz,1 Kg. Granel,S/M,Tortillas y Derivados del Maiz,Basicos,35,2026/02/18,Tortillerias Tradicionales,Tortillerías,Tortillería la Mejor,General Piña 144. Entre Tabasco y Campeche. Col. San Benito. Cp. 83190,Sonora,Hermosillo,29.098608,-110.964403
468417,Arroz,Bolsa 900 Gr. Super Extra,Ley,Arroz y Cereales Preparados,Pacic,15.9,2026/02/19,Ley,Supermercado / Tienda de Autoservicio,Ley Sucursal Blvd. Kino,Blvd. Eusebio Kino y Revolucion S/n. Esq. Revolucion. Col. Cinco de Mayo. Cp. 83270,Sonora,Hermosillo,29.097565,-110.949496
468418,Arroz,Bolsa 900 Gr. Super Extra,Verde Valle,Arroz y Cereales Preparados,Basicos,38.9,2026/02/19,Ley,Supermercado / Tienda de Autoservicio,Ley Sucursal Blvd. Kino,Blvd. Eusebio Kino y Revolucion S/n. Esq. Revolucion. Col. Cinco de Mayo. Cp. 83270,Sonora,Hermosillo,29.097565,-110.949496
468455,Carne Cerdo,1 Kg. Granel. Chuleta Natural,Bachoco,Carne y Visceras de Cerdo,Basicos,79.9,2026/02/19,Ley,Supermercado / Tienda de Autoservicio,Ley Sucursal Blvd. Kino,Blvd. Eusebio Kino y Revolucion S/n. Esq. Revolucion. Col. Cinco de Mayo. Cp. 83270,Sonora,Hermosillo,29.097565,-110.949496
468456,Carne Cerdo,1 Kg. Granel. Cabeza,S/M,Carne y Visceras de Cerdo,Basicos,43.9,2026/02/19,Ley,Supermercado / Tienda de Autoservicio,Ley Sucursal Blvd. Kino,Blvd. Eusebio Kino y Revolucion S/n. Esq. Revolucion. Col. Cinco de Mayo. Cp. 83270,Sonora,Hermosillo,29.097565,-110.949496
468457,Carne Cerdo,1 Kg. Granel. Chuleta o Chuleta Natural o Fresca/chuleta de Puerco Entrecortada o Lomo Deshuesado de Puerco o Chuleta Natural Lomo de Puerco,S/M,Carne y Visceras de Cerdo,Basicos,103.9,2026/02/19,Ley,Supermercado / Tienda de Autoservicio,Ley Sucursal Blvd. Kino,Blvd. Eusebio Kino y Revolucion S/n. Esq. Revolucion. Col. Cinco de Mayo. Cp. 83270,Sonora,Hermosillo,29.097565,-110.949496
468458,Carne Cerdo,1 Kg. Granel. Chuleta Ahumada o Entrecot Ahumado,S/M,Carne y Visceras de Cerdo,Basicos,149.9,2026/02/19,Ley,Supermercado / Tienda de Autoservicio,Ley Sucursal Blvd. Kino,Blvd. Eusebio Kino y Revolucion S/n. Esq. Revolucion. Col. Cinco de Mayo. Cp. 83270,Sonora,Hermosillo,29.097565,-110.949496
468459,Carne Cerdo,1 Kg. Granel. Chuleta de Paleta de Puerco,S/M,Carne y Visceras de Cerdo,Pacic,61.5,2026/02/19,Ley,Supermercado / Tienda de Autoservicio,Ley Sucursal Blvd. Kino,Blvd. Eusebio Kino y Revolucion S/n. Esq. Revolucion. Col. Cinco de Mayo. Cp. 83270,Sonora,Hermosillo,29.097565,-110.949496
468460,Carne Cerdo,1 Kg. Granel. Espinazo o Espinazo Cargado,S/M,Carne y Visceras de Cerdo,Basicos,41.9,2026/02/19,Ley,Supermercado / Tienda de Autoservicio,Ley Sucursal Blvd. Kino,Blvd. Eusebio Kino y Revolucion S/n. Esq. Revolucion. Col. Cinco de Mayo. Cp. 83270,Sonora,Hermosillo,29.097565,-110.949496
468461,Carne Cerdo,1 Kg. Granel. Manitas,S/M,Carne y Visceras de Cerdo,Basicos,62.9,2026/02/19,Ley,Supermercado / Tienda de Autoservicio,Ley Sucursal Blvd. Kino,Blvd. Eusebio Kino y Revolucion S/n. Esq. Revolucion. Col. Cinco de Mayo. Cp. 83270,Sonora,Hermosillo,29.097565,-110.949496
468462,Carne Cerdo,1 Kg. Granel. Pierna Entera con Hueso o Pernil con Hueso,S/M,Carne y Visceras de Cerdo,Basicos,68.5,2026/02/19,Ley,Supermercado / Tienda de Autoservicio,Ley Sucursal Blvd. Kino,Blvd. Eusebio Kino y Revolucion S/n. Esq. Revolucion. Col. Cinco de Mayo. Cp. 83270,Sonora,Hermosillo,29.097565,-110.949496
468463,Carne Cerdo,1 Kg. Granel. Pierna Entera Sin Hueso o Pernil Sin Hueso,S/M,Carne y Visceras de Cerdo,Basicos,103.9,2026/02/19,Ley,Supermercado / Tienda de Autoservicio,Ley Sucursal Blvd. Kino,Blvd. Eusebio Kino y Revolucion S/n. Esq. Revolucion. Col. Cinco de Mayo. Cp. 83270,Sonora,Hermosillo,29.097565,-110.949496
468464,Carne Pollo,1 Kg. Granel. Entero,Bachoco,Carne de Ave,Basicos,38.9,2026/02/19,Ley,Supermercado / Tienda de Autoservicio,Ley Sucursal Blvd. Kino,Blvd. Eusebio Kino y Revolucion S/n. Esq. Revolucion. Col. Cinco de Mayo. Cp. 83270,Sonora,Hermosillo,29.097565,-110.949496
468465,Carne Pollo,1 Kg. Granel. Pechuga con Hueso o Anatómica o Sin Rabadilla (con Piel),S/M,Carne de Ave,Basicos,121.5,2026/02/19,Ley,Supermercado / Tienda de Autoservicio,Ley Sucursal Blvd. Kino,Blvd. Eusebio Kino y Revolucion S/n. Esq. Revolucion. Col. Cinco de Mayo. Cp. 83270,Sonora,Hermosillo,29.097565,-110.949496
468466,Carne Res,1 Kg. Granel. Bistec Diezmillo o Diezmillo Sin Hueso,S/M,Carne y Visceras de Res,Basicos,247.5,2026/02/19,Ley,Supermercado / Tienda de Autoservicio,Ley Sucursal Blvd. Kino,Blvd. Eusebio Kino y Revolucion S/n. Esq. Revolucion. Col. Cinco de Mayo. Cp. 83270,Sonora,Hermosillo,29.097565,-110.949496
468467,Carne Res,1 Kg. Granel. Panza o Menudo. Cocidos,S/M,Carne y Visceras de Res,Basicos,129.9,2026/02/19,Ley,Supermercado / Tienda de Autoservicio,Ley Sucursal Blvd. Kino,Blvd. Eusebio Kino y Revolucion S/n. Esq. Revolucion. Col. Cinco de Mayo. Cp. 83270,Sonora,Hermosillo,29.097565,-110.949496
468468,Carne Res,1 Kg. Granel. Panza o Menudo. Crudos,S/M,Carne y Visceras de Res,Basicos,99.9,2026/02/19,Ley,Supermercado / Tienda de Autoservicio,Ley Sucursal Blvd. Kino,Blvd. Eusebio Kino y Revolucion S/n. Esq. Revolucion. Col. Cinco de Mayo. Cp. 83270,Sonora,Hermosillo,29.097565,-110.949496
468469,Carne Res,1 Kg. Granel. Retazo con Hueso o Cocido Comercial,S/M,Carne y Visceras de Res,Basicos,139.9,2026/02/19,Ley,Supermercado / Tienda de Autoservicio,Ley Sucursal Blvd. Kino,Blvd. Eusebio Kino y Revolucion S/n. Esq. Revolucion. Col. Cinco de Mayo. Cp. 83270,Sonora,Hermosillo,29.097565,-110.949496
468470,Carne Res,Paquete 500 Gr. Hígado Rebanado,Sukarne,Carne y Visceras de Res,Basicos,39.9,2026/02/19,Ley,Supermercado / Tienda de Autoservicio,Ley Sucursal Blvd. Kino,Blvd. Eusebio Kino y Revolucion S/n. Esq. Revolucion. Col. Cinco de Mayo. Cp. 83270,Sonora,Hermosillo,29.097565,-110.949496
468586,Frijol,Bolsa 900 Gr. Pinto (nacional),La Merced,Legumbres Secas,Basicos,58.9,2026/02/19,Ley,Supermercado / Tienda de Autoservicio,Ley Sucursal Blvd. Kino,Blvd. Eusebio Kino y Revolucion S/n. Esq. Revolucion. Col. Cinco de Mayo. Cp. 83270,Sonora,Hermosillo,29.097565,-110.949496
468587,Frijol,Bolsa 900 Gr. Negro,Ley,Legumbres Secas,Pacic,22.5,2026/02/19,Ley,Supermercado / Tienda de Autoservicio,Ley Sucursal Blvd. Kino,Blvd. Eusebio Kino y Revolucion S/n. Esq. Revolucion. Col. Cinco de Mayo. Cp. 83270,Sonora,Hermosillo,29.097565,-110.949496
468588,Frijol,Bolsa 1 Kg. Negro. Jamapa,Verde Valle,Legumbres Secas,Basicos,78.9,2026/02/19,Ley,Supermercado / Tienda de Autoservicio,Ley Sucursal Blvd. Kino,Blvd. Eusebio Kino y Revolucion S/n. Esq. Revolucion. Col. Cinco de Mayo. Cp. 83270,Sonora,Hermosillo,29.097565,-110.949496
468589,Frijol,Bolsa 900 Gr. Peruano,Verde Valle,Legumbres Secas,Basicos,65.9,2026/02/19,Ley,Supermercado / Tienda de Autoservicio,Ley Sucursal Blvd. Kino,Blvd. Eusebio Kino y Revolucion S/n. Esq. Revolucion. Col. Cinco de Mayo. Cp. 83270,Sonora,Hermosillo,29.097565,-110.949496
468590,Frijol,Bolsa 900 Gr. Pinto,Verde Valle,Legumbres Secas,Basicos,46.9,2026/02/19,Ley,Supermercado / Tienda de Autoservicio,Ley Sucursal Blvd. Kino,Blvd. Eusebio Kino y Revolucion S/n. Esq. Revolucion. Col. Cinco de Mayo. Cp. 83270,Sonora,Hermosillo,29.097565,-110.949496
468619,Harina de Arroz,Caja 500 Gr.,Tres Estrellas,Arroz y Cereales Preparados,Basicos,28.9,2026/02/19,Ley,Supermercado / Tienda de Autoservicio,Ley Sucursal Blvd. Kino,Blvd. Eusebio Kino y Revolucion S/n. Esq. Revolucion. Col. Cinco de Mayo. Cp. 83270,Sonora,Hermosillo,29.097565,-110.949496
468620,Harina de Maíz,Caja 425 Gr. Fécula. Natural,Maizena,Tortillas y Derivados del Maiz,Basicos,64.9,2026/02/19,Ley,Supermercado / Tienda de Autoservicio,Ley Sucursal Blvd. Kino,Blvd. Eusebio Kino y Revolucion S/n. Esq. Revolucion. Col. Cinco de Mayo. Cp. 83270,Sonora,Hermosillo,29.097565,-110.949496
468621,Harina de Maíz,Paquete 1 Kg.,Maseca,Tortillas y Derivados del Maiz,Basicos,18.9,2026/02/19,Ley,Supermercado / Tienda de Autoservicio,Ley Sucursal Blvd. Kino,Blvd. Eusebio Kino y Revolucion S/n. Esq. Revolucion. Col. Cinco de Mayo. Cp. 83270,Sonora,Hermosillo,29.097565,-110.949496
468622,Harina de Maíz,Paquete 1 Kg. Maíz Blanco. Nixtamalizado,Minsa,Tortillas y Derivados del Maiz,Basicos,18.5,2026/02/19,Ley,Supermercado / Tienda de Autoservicio,Ley Sucursal Blvd. Kino,Blvd. Eusebio Kino y Revolucion S/n. Esq. Revolucion. Col. Cinco de Mayo. Cp. 83270,Sonora,Hermosillo,29.097565,-110.949496
468628,Huevo,Paquete C/12 Blanco,Bachoco,Huevo,Basicos,52.9,2026/02/19,Ley,Supermercado / Tienda de Autoservicio,Ley Sucursal Blvd. Kino,Blvd. Eusebio Kino y Revolucion S/n. Esq. Revolucion. Col. Cinco de Mayo. Cp. 83270,Sonora,Hermosillo,29.097565,-110.949496
